d_model,seq_len,dtype,torch_fwd,torch_bwd,torch_full,fa2_fwd,fa2_bwd,fa2_full
64,128,torch.bfloat16,0.11224974019682227,0.5959094035867099,0.977432077839261,0.023568630289304397,0.6879387838684994,0.7850579132891109
64,256,torch.bfloat16,0.11730723882216483,0.7288841861206413,0.9172630561333076,0.027885664859966422,0.5423661399372789,0.7300351159002796
64,512,torch.bfloat16,0.11691569219102392,0.7570591082850706,1.0041582519060945,0.03380808291102092,0.5099663602618071,0.7467619394793094
64,1024,torch.bfloat16,0.10949312614632656,0.6475183239782044,1.0484715904632624,0.05013210915540707,0.44704877260711884,0.8406766085624695
64,2048,torch.bfloat16,0.12475177529349661,0.6118108854919183,1.1439118246237436,0.0829774808320564,0.600510051760536,0.8174260158498748
64,4096,torch.bfloat16,0.23206515867564007,0.6999449487459861,1.0915437191724777,0.15378154297982613,0.5641639131180783,0.83534248960468
64,8192,torch.bfloat16,0.8709851005755433,1.7283779300492386,2.4623256027698517,0.40801614428962674,1.083753526210785,1.321875379119121
64,16384,torch.bfloat16,3.1477295583294285,5.84238001704216,8.753544547341086,1.3114647604014775,3.285750397046407,4.507146163420244
64,32768,torch.bfloat16,12.006736040115356,21.520488262176514,33.44315147399902,5.076186958112214,11.825340151786804,17.187641143798828
64,65536,torch.bfloat16,47.399024963378906,85.34150695800781,132.47100830078125,20.08407211303711,49.01766395568848,69.0594253540039
128,128,torch.bfloat16,0.11453831377552777,0.5768427353210842,1.0345941305160522,0.024859116740168483,0.5086549681521231,0.8155567266724326
128,256,torch.bfloat16,0.11802413075242847,0.6066607657899248,1.0762452115846235,0.029258537394972417,0.516460797811548,0.829599035508705
128,512,torch.bfloat16,0.11372828227344645,0.6612885671807086,1.0638037596840457,0.039273792200467804,0.5410755700316311,0.8670089629292488
128,1024,torch.bfloat16,0.11943098798110126,0.6843754514439465,1.1470364785194398,0.05847161605209112,0.6474087185956336,0.7911105351422423
128,2048,torch.bfloat16,0.12555706266521802,0.5850954035512445,1.038391074882104,0.09907946535313282,0.6032034992520275,0.862328383421141
128,4096,torch.bfloat16,0.2340716906920981,0.6895740946133931,1.1083990085272142,0.21418555882069973,0.6762201831760731,0.8810425472866957
128,8192,torch.bfloat16,0.876353778220989,1.7255644422990304,2.482777442687597,0.5716483935161873,1.0162375416511145,1.4984925563518818
128,16384,torch.bfloat16,3.168081545060681,5.832084655761719,8.797503991560502,1.8149621171771355,3.273469853401184,5.012006759643555
128,32768,torch.bfloat16,12.065567970275879,21.69059181213379,33.552528381347656,7.131167925321138,11.803035974502563,19.3426944732666
128,65536,torch.bfloat16,47.833744049072266,85.72806549072266,133.2904052734375,28.270047505696613,49.68529510498047,77.81613159179688
16,128,torch.float32,0.11525677996429386,0.6667164569957249,1.1560681057281983,0.022812306778138256,0.8796040786831987,1.0149753009495528
16,256,torch.float32,0.12161704544695578,0.7583189964543825,1.090817602723837,0.025747415994501803,0.7526353576022726,0.91751391486784
16,512,torch.float32,0.12024183213028289,0.7947175588648198,1.1037857547038938,0.03280788653789615,0.8507978988416267,1.0629978489417296
16,1024,torch.float32,0.12921898213872773,0.7580946458261565,1.1224792454131813,0.045647819907892316,0.8783959160882531,0.8780590494473776
16,2048,torch.float32,0.15640639978647233,0.7473196513986818,1.1087911978363991,0.07342492575170817,0.7737846561794073,0.8657514913172661
16,4096,torch.float32,0.4097673853867734,0.9948228256086286,1.3810592475144758,0.13213823076675035,0.9501534311394942,1.1231017414261313
16,8192,torch.float32,1.318905433563337,2.7392859527042934,3.927640314102173,0.36400352643460643,2.143848728049885,2.305444272359212
